"MPROG","PURPM","Country","RLABO","STATN","MYEAR","DATE","Latitude","Longitude","Species","SEXCO","NOINP","DEPHU","DEPHL","MATRX","NODIS","PARGROUP","PARAM","BASIS","QFLAG","Value","MUNIT","VFLAG","DETLI","LMQNT","UNCRT","METCU","ALABO","REFSK","METST","METPT","METPS","METFP","METCX","METOA","FORML","Test.Organism","SMTYP","FINFL","SUBNO","BULKID","tblAnalysisID","tblParamID","tblSampleID"
"BMP","T~S","Russia","RCMA","",1995,"04/10/1995",60.04333333,29.03333333,NA,NA,NA,14,NA,"BF",NA,"I-MET","CU","W","",0.0283464566929134,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,3,NA,65104,22645450,1056869
"NATL~WFD","T~S","Poland","OWMP","10WM",2014,"02/07/2014",54.333,19.519,NA,NA,NA,0.5,1.8,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489071,2065267
"NATL~WFD","T~S","Poland","OWMP","1WM",2014,"02/07/2014",54.44,19.667,NA,NA,NA,0.5,2.5,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489075,2065259
"NATL~WFD","T~S","Poland","OWMP","2WM",2012,"03/04/2012",54.437,19.717,NA,NA,NA,4.8,4.8,"WT",NA,"I-MET","CU","W","",0.236220472440945,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447607,46487069,2065199
"NATL~WFD","T~S","Poland","SZPP","2ZP",2012,"12/08/2012",53.981,14.498,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.0692913385826772,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491678,2065402
"NATL~WFD","T~S","Poland","OWMP","3WM",2014,"11/06/2014",54.438,19.764,NA,NA,NA,0.5,2.7,"WT",NA,"I-MET","CU","W","",0.188976377952756,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489092,2065249
"NATL~WFD","T~S","Poland","SZPP","3ZP",2012,"14/05/2012",54.113,15.065,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",1.71653543307087,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491665,2065418
"BMP","T~S","Russia","RCMA","4270",1998,"10/06/1998",59.76033333,28.24083333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0165354330708661,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442641,406082
"BMP","T~S","Russia","RCMA","4271",1998,"10/06/1998",60.10333333,28.06283333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0132283464566929,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442737,406084
"BMP","T~S","Russia","RCMA","4272",1998,"11/06/1998",60.345,28.01966667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0141732283464567,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442803,406085
"BMP","T~S","Russia","RCMA","4277",1998,"13/06/1998",57.3235,20.04933333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0141732283464567,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442869,406086
"BMP","T~S","Russia","RCMA","4300",1998,"15/06/1998",55.54866667,18.58683333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0152755905511811,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21442935,406087
"BMP","T~S","Russia","RCMA","4309",1998,"18/06/1998",55.33,15.571,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0138582677165354,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443001,406088
"BMP","T~S","Russia","RCMA","4314",1998,"20/06/1998",55.45883333,15.23183333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0143307086614173,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443067,406089
"BMP","T~S","Russia","RCMA","4316",1998,"21/06/1998",54.97166667,13.223,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0146456692913386,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443113,406090
"BMP","T~S","Russia","RCMA","4331",1998,"01/07/1998",55.31983333,19.675,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0204724409448819,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443285,406094
"NATL~WFD","T~S","Poland","SZPP","4ZP",2012,"14/05/2012",54.167,15.291,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.566929133858268,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491666,2065419
"NATL~WFD","T~S","Poland","OWMP","5WM",2014,"17/09/2014",54.358,19.658,NA,NA,NA,0.5,2.1,"WT",NA,"I-MET","CU","W","",0.078740157480315,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489060,2065289
"NATL~WFD","T~S","Poland","SZPP","5ZP",2012,"14/05/2012",54.204,15.557,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.141732283464567,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491667,2065420
"NATL~WFD","T~S","Poland","OWMP","6WM",2012,"11/06/2012",54.4,19.633,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.094488188976378,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447607,46487078,2065204
"NATL~WFD","T~S","Poland","SZPP","6ZP",2012,"01/08/2012",54.295,16.125,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.110236220472441,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491661,2065426
"NATL~WFD","T~S","Poland","SZPP","7ZP",2012,"10/09/2012",54.451,16.361,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.15748031496063,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491652,2065437
"NATL~WFD","T~S","Poland","OWMP","8WM",2014,"02/07/2014",54.3,19.283,NA,NA,NA,0.5,1.9,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489069,2065265
"BMP","N","Russia","RCMA","A1",1998,"15/07/1998",58.98966667,21.3495,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.015748031496063,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443513,406098
"BMP","N","Russia","RCMA","A2",1998,"16/07/1998",55.85433333,18.84433333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0125984251968504,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443579,406099
"BMP","N","Russia","RCMA","A3",1998,"21/07/1998",54.90866667,14.27433333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0152755905511811,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443645,406100
"BMP","N","Russia","RCMA","B2",1998,"30/07/1998",55.47916667,15.99633333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0141732283464567,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443711,406101
"NATL~WFD","T~S","Poland","SZPP","B2ZP",2011,"06/06/2011",53.859,14.282,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.047244094488189,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447623,46490210,2065331
"BMP","N","Russia","RCMA","BL2",1998,"04/08/1998",55.01383333,13.50733333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0228346456692913,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443843,406103
"COMB","T","Lithuania","MRLT","BMPJ2",2008,"08/05/2008",55.88166667,20.34166667,NA,NA,NA,10,NA,"AF",NA,"I-MET","CU","","",0.078740157480315,"uM","",NA,2,NA,"","MRLT","ISO15586:2003","RF","PCF45","","HNO","HNO-CM","AAS-GF",NA,NA,"NSK",NA,NA,NA,62116,22350685,1040648
"NATL~WFD","T~S","Poland","GDPP","C11P",2011,"07/07/2011",54.675,17.03,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.15748031496063,"uM","",NA,NA,NA,"","SLPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,560531,48617975,2144152
"NATL~WFD","T~S","Poland","GDPP","C12P",2012,"18/09/2012",54.7794667,17.5551333,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.032755905511811,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,447589,46485003,2065142
"NATL~WFD","T~S","Poland","GDPP","C13P",2012,"17/09/2012",54.839,18.078,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.0352755905511811,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,447589,46484999,2065138
"NATL~WFD","T~S","Poland","GDPP","C15P",2012,"25/07/2012",54.843,18.344,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.0379527559055118,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,447589,46485015,2065130
"NATL~WFD","T~S","Poland","GDPP","C17P",2012,"05/08/2012",54.794,18.437,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.0333858267716535,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,447589,46485009,2065136
"NATL~WFD","T~S","Poland","GDPP","C18P",2012,"25/07/2012",54.72,18.646,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.04,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,447589,46485005,2065132
"NATL~WFD","T~S","Poland","GDPP","C19P",2011,"28/11/2011",54.415907,19.49583,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.251968503937008,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48618007,2144166
"NATL~WFD","T~S","Poland","GDPP","C9P",2011,"30/03/2011",54.594,16.868,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.15748031496063,"uM","",NA,NA,NA,"","SLPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,560531,48618011,2144156
"NATL~WFD","T~S","Poland","SZPP","CZP",2014,"16/07/2014",53.762,14.406,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.125984251968504,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447648,46492539,2065499
"NATL~WFD","T~S","Poland","SZPP","DZZP",2012,"25/04/2012",54.04,14.728,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.110236220472441,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491701,2065377
"NATL~WFD","T~S","Poland","SZPP","EZP",2013,"06/08/2013",53.673,14.525,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.236220472440945,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447645,46492305,2065467
"NATL~WFD","T~S","Poland","SZPP","FZP",2011,"26/09/2011",53.778,14.533,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447623,46490183,2065360
"NATL~WFD","T~S","Poland","SZPP","HZP",2014,"16/07/2014",53.785,14.31,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.125984251968504,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447648,46492532,2065498
"NATL~WFD","T~S","Poland","SZPP","IVZP",2014,"03/09/2014",54.005919,14.233521,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.094488188976378,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447648,46492609,2065509
"COMB","T","Lithuania","MRLT","J56",2008,"19/08/2008",56.02833333,20.83333333,NA,NA,NA,24,NA,"AF",NA,"I-MET","CU","","",0.0913385826771654,"uM","",NA,2,NA,"","MRLT","ISO15586:2003","RF","PCF45","","HNO","HNO-CM","AAS-GF",NA,NA,"NSK",NA,NA,NA,62116,22350709,1040652
"NATL~WFD","T~S","Poland","SZPP","JWWZP",2011,"06/06/2011",53.883,14.398,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.047244094488189,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447623,46490211,2065332
"BMP","N","Russia","RCMA","K2",1998,"03/08/1998",59.20416667,21.80783333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0141732283464567,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443777,406102
"COMB","","Lithuania","MRLT","K22",2014,"21/05/2014",55.735,21.05,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","","",0.152755905511811,"uM","",NA,0.8,NA,"","MRLT","LST EN ISO 15586:2004","","FM-PC-0.45","","","NON","AAS-GF",NA,NA,"NSK",NA,NA,NA,157523,42346429,1742947
"COMB","","Lithuania","MRLT","K23",2014,"31/10/2014",55.71831667,21.06166667,NA,NA,NA,12,12,"WT",NA,"I-MET","CU","","",0.121259842519685,"uM","",NA,0.8,NA,"","MRLT","LST EN ISO 15586:2004","","FM-PC-0.45","","","NON","AAS-GF",NA,NA,"NSK",NA,NA,NA,157523,42346457,1742963
"BMP","N","Russia","RCMA","K3",1998,"04/08/1998",57.15333333,19.93016667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0135433070866142,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443909,406104
"COMB","","Lithuania","MRLT","K32",2014,"02/09/2014",55.55833333,21.07833333,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","","",0.0897637795275591,"uM","",NA,0.8,NA,"","MRLT","LST EN ISO 15586:2004","","FM-PC-0.45","","","NON","AAS-GF",NA,NA,"NSK",NA,NA,NA,157523,42346446,1742952
"BMP","N","Russia","RCMA","K4",1998,"10/08/1998",59.2,21.8,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0163779527559055,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21444041,406106
"COMB","T","Lithuania","MRLT","K41",2008,"13/02/2008",55.31166667,20.95666667,NA,NA,NA,10,NA,"AF",NA,"I-MET","CU","","",0.313385826771653,"uM","",NA,2,NA,"","MRLT","ISO15586:2003","RF","PCF45","","HNO","HNO-CM","AAS-GF",NA,NA,"NSK",NA,NA,NA,62116,22350559,1040627
"BMP","N","Russia","RCMA","K5",1998,"10/08/1998",57.15,19.93,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0165354330708661,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443975,406105
"NATL","T~S","Germany","BFGG","Oderbank",2009,"13/02/2009",54.07683333,14.16016667,NA,NA,NA,5,NA,"WT",NA,"I-MET","CU","W","",0.00960629921259843,"uM","A",8,NA,NA,"","IFOG","","","FF-GF-0.7","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,422144,46398666,2042568
"NATL~WFD","T~S","Poland","GDPP","OM1P",2011,"07/06/2011",54.567,18.683,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.262992125984252,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48618010,2144169
"NATL","T","Germany","IFOG","OM222",2006,"30/01/2006",55.22,17.07,NA,NA,NA,5.5,NA,"AF",NA,"I-MET","CU","W","",0.00844094488188976,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569260,1055036
"COMB","T~S~E","Germany","BFGG","OM225019",2010,"13/01/2010",54.84,9.4845,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0267716535433071,"uM","A",0.25,0.5,0.34,"U2","LVUG","","","NF~UV","","","HNO","AAS-GF",NA,NA,"UNK",NA,1,NA,484624,46576727,2073720
"NATL","T~S","Germany","BFGG","OM225025",2013,"03/06/2013",53.89483333,10.80133333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0661417322834646,"uM","",0.25,0.5,1.26,"U2","LVUG","","","NF","","","HNO","AAS-GF",NA,NA,"GFL",NA,1,NA,304234,46046678,1937302
"NATL","T~S~E","Germany","BFGG","OM225028",2010,"05/07/2010",54.58333333,10.06683333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0251968503937008,"uM","A",0.25,0.5,0.32,"U2","LVUG","","","NF~UV","","","HNO","AAS-GF",NA,NA,"UNK",NA,1,NA,484733,46576781,2078441
"COMB","T~S~E","Germany","BFGG","OM225054",2016,"24/02/2016",54.06833333,10.82166667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","<",0.0078740157480315,"uM","",0.25,0.5,0.15,"U2","LVUG","","","NF","","","HNO","AAS-GF",NA,NA,"GFL",NA,1,NA,576575,50443232,2222399
