Date,Time of day,Position,Light intensity,Control growth rate (day-1),S.D.,RO5 Spation control growth rate (day-1),Concentration,Start Density (RFU),Growth rate (day-1),Inhibition,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,4,0.01,#OGILTIGT!,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.703466667,0.01,-0.5871,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,0.0369,0.98,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.17471934,0.01,0.3927,0.74,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.939366813,0.01,0.6455,0.58,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.721461753,0.01,0.9918,0.35,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.2299,0.20,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.332916167,0.01,1.2693,0.17,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.159969315,0.01,1.4558,0.05,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.4356,0.06,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.851588518,0.01,1.4702,0.04,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.71432409,0.01,1.4763,0.04,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,-0.6308,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.2509,0.18,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.4240,0.07,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,3.428916338,0.01,-0.3421,1.00,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,2.519710722,0.01,1.2194,0.21,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,1.99984359,0.01,1.4476,0.06,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.6386,-0.01,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.5508,-0.01,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.5488,0.02,,,
43388,1900-01-00,00:00,0,1.24438383,0.126727085,#OGILTIGT!,0,0.009082109,1.4993,0.10,,,